PUD Svc Area,PUD Fac,PUD Rte,PUD Cycle,Courier id,Courier Type,Customer Name,Street,zip,City,Act Dt,Act Base,Delivery Type,Pickup Type,Prod Grp,Prod Code,ShpCnt,Pallets Pcs,Parcel Pcs,Total Pcs,Weight,AR dtm,Act Tm,Open,Closed,lat,lgtd,awb_booking,Act Ckpt Code,PuD Type,Stop Code,MarkerColor,id,batchID
KUL,EAC,ACC2,B,knassiet,DHL Courier,,,,,20200204,,,,,,0.0,0.0,0.0,,,,14:00:00,,23:59,2.6742874,102.00522149999999,,DEPAR,,,,618arrvd,20200204-a-618
KUL,EAC,ACC2,B,knassiet,DHL Courier,BOSTIK FINDLEY M SDN BHD,"LOT 112 & 113
KAWASAN PERINDUSTRIAN SENAWANG
SEREMBAN",70400,SEREMBAN,20200204,P,,REGULAR,WPX,P,1.0,0.0,0.0,1.0,0.12,,14:02:56,15:00,17:00,2.7066777,101.9567416,6905055706,PU,PU,7.0,,761,20200204-a-618
KUL,EAC,ACC2,B,knassiet,DHL Courier,TROX MALAYSIA SDN BHD,"20 PERSIARAN BUNGA TANJUNG 1
SENAWANG LAND INDUSTRIAL PARK 70
SEREMBAN",70400,SEREMBAN,20200204,P,,REGULAR,DOX,D,2.0,0.0,1.0,2.0,1.02,,14:15:41,9:30,17:00,2.7096483,101.9983302,2283367402,PU,PU,5.0,,759,20200204-a-618
KUL,EAC,ACC2,B,knassiet,DHL Courier,ESMALGLASS ITACAMALAYSIA SDN. BHD,"PT 5179, JALAN BUNGA TANJUNG 1,
SENAWANG INDUSTRIAL PARK,
NEGERI SEMBILAN",70450,SEREMBAN,20200204,D,NORMAL,,WPX,P,1.0,0.0,1.0,1.0,25.95,4/2/2020 13:13,14:24:13,,23:59,2.7061682,102.0101057,5412876641,OK,DL,25.0,,754,20200204-a-618
KUL,EAC,ACC2,B,knassiet,DHL Courier,TOTO MALAYSIA SDN BHD,"LOT 74-85 PERSIARAN BUNGA TANJUNG 1
SENAWANG IND PARK 70
SEREMBAN",70400,SEREMBAN,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.11,,14:30:28,16:15,17:00,2.7059538,102.0132856,4886768246,PU,PU,1.0,,755,20200204-a-618
KUL,EAC,ACC2,B,knassiet,DHL Courier,INFASTECH MALAYSIA SND BHD,"PERSIARAN BUNGA TANJUNG 1
SENAWANG IND. PARK 70
SEREMBAN",70400,SEREMBAN,20200204,P,,REGULAR,WPX,P,1.0,0.0,1.0,1.0,1.62,,14:38:24,15:00,17:00,2.7051602000000003,102.0087937,5862378130,PU,PU,2.0,,756,20200204-a-618
KUL,EAC,ACC2,B,knassiet,DHL Courier,DOU YEE MANUFACTURING SDN BHD,"DOU YEE MANUFACTURING SDN BHD
LOT 59 PERSIARAN BUNGA TANJUNG 1 70
SEREMBAN",70400,SEREMBAN,20200204,P,,REGULAR,WPX,P,1.0,0.0,2.0,2.0,20.06,,14:45:46,15:00,17:00,2.7052331,102.0019709,4913543213,PU,PU,4.0,,758,20200204-a-618
KUL,EAC,ACC2,B,knassiet,DHL Courier,OPK INTER-CORPORATION SDN. BHD,"LOT. 21A, JALAN BUNGA TANJUNG 2,
SENAWANG INDUSTRIAL PARK, 70
SEREMBAN",70400,SEREMBAN,20200204,P,,REGULAR,DOM,N,2.0,0.0,0.0,2.0,0.24,,14:53:15,15:00,17:00,2.7080124,101.9985178,3260074156,PU,PU,3.0,,757,20200204-a-618
KUL,EAC,ACC2,B,knassiet,DHL Courier,CAREPLUS M SDN BHD,"LOT 120 & 121, JALAN SENAWANG 3
SENAWANG INDUSTRIAL ESTATE 70 NEGERI SEMBILA
SEREMBAN",70450,SEREMBAN,20200204,P,,REGULAR,WPX,P,2.0,0.0,1.0,2.0,3.48,,15:05:39,16:15,16:30,2.685699,101.9881127,2705337272,PU,PU,6.0,,760,20200204-a-618
KUL,EAC,ACC2,B,knassiet,DHL Courier,AA SEREMBAN,"151, JALAN DATO BANDAR TUNGGAL,
70000 SEREMBAN 70 NEGERI SEMBILAN
SEREMBAN",70000,SEREMBAN,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.09,,15:19:15,10:00,17:00,2.7274130000000003,101.93827840000002,4886652923,PU,PU,4.0,,570,20200204-a-618
KUL,EAC,ACC2,B,knassiet,DHL Courier,,,,,20200204,,,,,,0.0,0.0,0.0,,,,15:24:44,,23:59,2.6742874,102.00522149999999,,ARRVD,,,,618arrvd,20200204-a-618
